City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,mar del plata,-38.0023,-57.5575,298.16,85,0,8.49,AR,1706913723
147,ilulissat,69.2167,-51.1,252.16,59,40,7.2,GL,1706913571
148,nova sintra,14.8667,-24.7167,294.82,69,0,5.35,CV,1706913724
149,luganville,-15.5333,167.1667,298.72,87,100,3.59,VU,1706913724
150,selibaby,15.159,-12.1829,299.05,13,4,5.3,MR,1706913724
151,santa maria da vitoria,-13.3947,-44.1886,297.25,54,100,0.89,BR,1706913724
152,atafu village,-8.5421,-172.5159,301.59,78,99,5.92,TK,1706913587
153,novofedorivka,46.1713,32.3178,274.8,85,8,5.19,UA,1706913724
154,nuuk,64.1835,-51.7216,258.49,66,75,3.6,GL,1706913725
155,avarua,-21.2078,-159.775,302.18,79,75,1.54,CK,1706913725
156,chonchi,-42.6128,-73.8092,292.1,78,92,2.23,CL,1706913574
157,kalemie,-5.9475,29.1947,294.14,92,100,2.14,CD,1706913725
158,east london,-33.0153,27.9116,297.03,85,100,7.83,ZA,1706913725
159,tamanrasset,22.785,5.5228,282.1,21,0,2.06,DZ,1706913725
160,robore,-18.3333,-59.75,304.2,66,20,0.0,BO,1706913726
161,polyarnyy,69.1989,33.4478,262.97,91,47,6.23,RU,1706913726
162,warrnambool,-38.3833,142.4833,290.41,57,0,3.44,AU,1706913726
163,syzran',53.1585,48.4681,267.23,96,86,3.21,RU,1706913610
164,lanzhou,36.0564,103.7922,269.57,92,100,1.56,CN,1706913498
165,whitehorse,60.7161,-135.0538,251.65,45,20,2.57,CA,1706913726
166,maych'ew,12.7875,39.5422,285.96,92,95,1.13,ET,1706913727
167,luderitz,-26.6481,15.1594,292.14,96,65,3.28,NA,1706913727
168,constantia,44.1833,28.65,274.65,88,89,5.64,RO,1706913727
169,khash,28.2211,61.2158,286.46,80,100,11.83,IR,1706913727
170,pisco,-13.7,-76.2167,299.18,69,0,10.29,PE,1706913727
171,ust-nera,64.5667,143.2,242.86,100,100,0.49,RU,1706913728
172,persianovka,47.5297,39.4183,273.8,90,52,3.98,RU,1706913728
173,jaguaribe,-5.8906,-38.6219,302.75,51,88,5.49,BR,1706913645
174,laguna,38.421,-121.4238,288.28,62,20,6.17,US,1706913614
175,cidreira,-30.1811,-50.2056,296.44,75,0,7.64,BR,1706913728
176,naracoorte,-36.9579,140.7383,294.08,35,0,2.59,AU,1706913728
177,arpacay,40.8487,43.3291,256.95,83,43,1.37,TR,1706913729
178,yamada,39.4667,141.95,271.88,51,59,4.34,JP,1706913729
179,waxahachie,32.3865,-96.8483,291.66,88,100,5.53,US,1706913539
180,preobrazheniye,42.9019,133.9064,260.64,61,0,2.7,RU,1706913729
181,shingu,33.7333,135.9833,277.35,63,3,1.94,JP,1706913558
182,inirida,3.8653,-67.9239,299.19,89,99,0.48,CO,1706913730
183,punta arenas,-53.15,-70.9167,278.21,93,100,9.77,CL,1706913660
184,diego martin,10.7005,-61.5342,299.03,80,19,3.64,TT,1706913730
185,porto novo,6.4965,2.6036,302.05,75,31,2.08,BJ,1706913646
186,aykhal,66.0,111.5,245.69,66,22,1.88,RU,1706913730
187,conception bay south,47.4999,-52.9981,272.4,84,82,2.73,CA,1706913731
188,duki,30.1541,68.5728,279.98,81,98,0.97,PK,1706913731
189,la passe,45.5549,-0.8967,281.47,91,13,2.48,FR,1706913731
190,miquelon,47.0975,-56.3814,273.15,84,90,4.89,PM,1706913642
191,st. john's,47.5649,-52.7093,272.53,82,100,3.6,CA,1706913633
192,hampton bays,40.869,-72.5176,279.23,83,100,4.02,US,1706913731
193,amursk,50.2261,136.8994,248.14,97,100,4.02,RU,1706913732
194,khandyga,62.6667,135.6,232.0,100,93,0.84,RU,1706913732
195,akureyri,65.6835,-18.0878,271.11,69,100,4.63,IS,1706913732
196,nadi,-17.8,177.4167,304.15,70,75,3.09,FJ,1706913732
197,macheng,31.1783,115.0319,271.98,96,100,2.96,CN,1706913602
198,san antonio de pale,-1.4014,5.6325,301.02,77,98,2.34,GQ,1706913643
199,urcos,-13.6861,-71.6228,290.09,75,100,2.84,PE,1706913732
200,kaitong,44.8135,123.15,251.45,96,5,1.21,CN,1706913733
201,el granada,37.5027,-122.4694,288.24,68,75,7.72,US,1706913733
202,saudarkrokur,65.7461,-19.6394,268.13,77,76,10.7,IS,1706913609
203,puerto real,36.5282,-6.1901,287.24,62,0,6.69,ES,1706913734
204,opuwo,-18.0607,13.84,294.94,73,98,1.22,NA,1706913734
205,rujewa,-8.7,34.3833,292.4,96,100,1.34,TZ,1706913734
206,stiens,53.2623,5.7577,283.14,82,100,9.26,NL,1706913734
207,uturoa,-16.7333,-151.4333,301.13,75,100,4.86,PF,1706913734
208,margate,51.3813,1.3862,284.75,83,96,2.68,GB,1706913481
209,new plymouth,-39.0667,174.0833,287.49,74,55,11.87,NZ,1706913735
210,mmabatho,-25.85,25.6333,296.13,43,74,1.54,ZA,1706913735
211,mahajanga,-15.7167,46.3167,299.16,89,40,2.06,MG,1706913735
212,prince rupert,54.3161,-130.3201,275.98,60,0,8.23,CA,1706913736
213,iowa falls,42.5225,-93.2513,274.3,93,100,8.75,US,1706913736
214,kerikeri,-35.2268,173.9474,295.32,68,48,2.24,NZ,1706913737
215,turkmenbasy,40.0222,52.9552,270.58,93,0,0.0,TM,1706913737
216,turpan,42.9333,89.1667,274.05,44,100,0.44,CN,1706913556
217,kaa-khem,51.6833,94.7333,250.98,95,100,0.78,RU,1706913738
218,fayroz koh,34.5195,65.2509,270.97,93,62,2.62,AF,1706913738
219,weyburn,49.6668,-103.8511,275.27,93,5,6.69,CA,1706913739
220,saipan,15.1355,145.701,299.54,69,40,9.77,MP,1706913739
221,uzgen,40.7699,73.3007,267.31,64,10,3.81,KG,1706913740
222,mejit,10.2753,170.8646,299.61,85,85,10.29,MH,1706913740
223,kibale,0.8,31.0667,291.17,81,61,0.73,UG,1706913741
224,fereydunshahr,32.941,50.121,260.31,97,63,2.85,IR,1706913741
225,pacific grove,36.6177,-121.9166,287.98,62,40,5.66,US,1706913660
226,tamandare,-8.7597,-35.1047,299.93,73,87,3.83,BR,1706913741
227,wenshui,28.4506,106.5267,278.66,95,100,1.0,CN,1706913742
228,hadibu,12.65,54.0333,297.79,81,64,2.97,YE,1706913742
229,hobyo,5.3505,48.5268,298.44,80,97,5.84,SO,1706913742
230,kamiiso,41.8167,140.65,261.36,85,20,3.09,JP,1706913743
231,pelaya,8.6882,-73.6645,301.65,74,98,0.76,CO,1706913743
232,moshkovo,55.3053,83.6104,259.45,91,58,4.83,RU,1706913743
233,kiamba,5.9894,124.6242,299.14,84,20,1.6,PH,1706913743
234,pirallahi,40.4723,50.333,272.23,75,14,0.99,AZ,1706913744
235,kruisfontein,-34.0033,24.7314,292.53,83,68,1.0,ZA,1706913708
236,banikoara,11.2985,2.4386,297.93,14,0,3.39,BJ,1706913744
237,wotje,9.4543,170.2367,299.54,86,97,9.32,MH,1706913745
238,mahibadhoo,3.7833,72.9667,301.21,78,100,5.58,MV,1706913745
239,brookings,44.3114,-96.7984,279.29,92,7,2.24,US,1706913670
240,gisborne,-38.6533,178.0042,294.76,47,59,6.85,NZ,1706913746
241,haiku-pauwela,20.9219,-156.3051,294.96,89,100,8.23,US,1706913569
242,fale old settlement,-9.3852,-171.2468,302.01,73,100,5.94,TK,1706913746
243,bac lieu,9.285,105.7244,296.7,91,5,3.01,VN,1706913747
244,portland,45.5234,-122.6762,287.01,59,75,6.69,US,1706913850
